date,nav,cash,n_positions,topix_nav
2024-07-17,130988776.45426407,13751679.914957426,9,26763160.431362808
2024-07-18,130775586.51894912,11463986.885160064,9,26556252.143367544
2024-07-21,130954897.14056167,36552013.119565584,7,26389823.906715244
2024-07-22,131813912.12477797,23440746.719504543,8,26475287.54164839
2024-07-23,129830440.74145278,36196974.57323989,7,26061470.965657867
2024-07-24,127573133.03055191,75540644.21829605,4,25346286.649827532
2024-07-25,127607905.54536514,101112615.70161514,2,25458737.735494867
2024-07-28,127927379.34379654,12040876.200485993,9,25755606.44212067
2024-07-29,127996298.46583024,96093.94922866859,10,25701629.2911357
2024-07-30,129673725.71192399,96093.94922866859,10,26092957.449606046
2024-07-31,125955791.39014664,25994737.740244295,8,25242831.3810716
2024-08-01,122623146.18416825,109453468.7061409,1,23700013.913260218
2024-08-04,121791935.99106522,121791935.99106522,0,21136149.855597902
2024-08-05,121779996.79167557,109840797.40202713,1,22413585.100731667
2024-08-06,121825541.78679276,109840797.40202713,1,23245715.036410112
2024-08-07,122691845.48504716,79179.62811357155,10,22975836.030035097
2024-08-08,121780850.80120927,79179.62811357155,10,23218727.585675932
2024-08-12,123005831.9430916,102115.39035722427,10,23812464.99892754
2024-08-13,123262696.35349199,102115.39035722427,10,24082346.254819166
2024-08-14,125120013.99265215,102115.39035722427,10,24266763.875777647
2024-08-15,126468693.14419024,12750860.307276169,9,25035923.093076337
2024-08-18,125557345.72597735,12750860.307276169,9,24667087.851159386
2024-08-19,127578537.49685137,103892.11110917665,10,24923474.256925613
